Car_Id,Car_Name,Year,Selling_Price_Lakh,Present_Price_Lakh,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
101,Ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0
102,Sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0
103,Ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0
104,Wagon R,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0
105,Swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0
106,Vitara Brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0
107,Ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0
108,S Cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0
109,Ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0
110,Ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0
111,Alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0
112,Ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0
113,Ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0
114,Ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0
115,Dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0
116,Ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0
117,Ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0
118,Wagon R,2015,3.25,5.09,35500,CNG,Dealer,Manual,0
119,Sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0
120,Alto K10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0
121,Ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0
122,Sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0
123,Alto K10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0
124,Wagon R,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0
125,Swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0
126,Swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0
127,Swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0
